שנת לימודים,שם מחוז,שם רשות,סמל מוסד,שם מוסד,חמשון טיפוח,סטטוס מוסד,סוג חינוך מוסד,שלבי חינוך במוסד,מגזר,סוג פיקוח,מעמד משפטי, שעות הוראה,עלות  שעות הוראה,שעות פרטניות, שעות שהיה,שעות הדרכה,עלות תיקצוב שעות הדרכה,שעות איחוד משכורת , עלות תיקצוב שעות איחוד משכורת ,"שעות בודדות -חנ""מ - חופשות","עלות שעות בודדות -חנ""מ - חופשות","שכ""ל",גני ילדים,שירותי היקף,תקציב הסעות ,פרויקטים והעברות לרשויות מקומיות ובעלויות,שעות רשת חינוך עצמאי ומעיין חינוך תורני , עלות שעות רשת חינוך עצמאי ומעיין חינוך תורני ,שעות מוסדות פטור,עלות שעות מוסדות פטור,שירותי עזר - מוסדות פטור,מספר תלמידים בפועל חינוך רגיל,מספר תלמידים בפועל חינוך מיוחד, מס' כיתות  חינוך רגיל, מס' כיתות  חינוך מיוחד,"סה""כ תקציב שכר ותשלומים",הערות
תשעו,דרום,שדרות,612846,ז'בוטינסקי,חלש,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי,רשמי,438,"3,485,448",75,78,0,0,0,0,0,0,0,0,"309,780",0,"424,764",0,0,0,0,0,172,14,6.0,1.0,"4,219,992", 
תשעו,דרום,שדרות,613372,"ת""ת וב""י יסודי התורה",חלש,פעיל,רגיל,יסודי בלבד,יהודי,חרדי,מוכר,0,0,0,0,0,0,0,0,0,0,0,0,"208,772",0,"261,831",313,"1,920,850",0,0,0,132,0,5.5,0.0,"2,391,453", 
תשעו,דרום,שדרות,614172,אלון,חלש - בינוני,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי,רשמי,520,"4,101,015",91,90,0,0,0,0,0,0,0,0,"309,339",0,"552,117",0,0,0,0,0,240,0,9.0,0.0,"4,962,471", 
תשעו,דרום,שדרות,614362,עטרת אסתר,חלש,פעיל,רגיל,יסודי בלבד,יהודי,חרדי,מוכר,0,0,0,0,0,0,0,0,0,0,0,0,"61,439",0,"200,361",219,"1,249,901",0,0,0,62,0,4.0,0.0,"1,511,701", 
תשעו,דרום,שדרות,614727,מדעי תורני,חלש - בינוני,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי דתי,רשמי,456,"3,568,088",81,73,0,0,0,0,0,0,0,0,"265,373",0,"417,669",0,0,0,0,0,208,0,8.0,0.0,"4,251,130", 
תשעו,דרום,שדרות,614883,"תורני חדש ממ""ד",בינוני - חזק,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי דתי,רשמי,910,"7,137,194",166,156,0,0,0,0,0,0,0,0,"573,467",0,"770,076",0,0,0,0,0,459,0,17.0,0.0,"8,480,737", 
תשעו,דרום,שדרות,615344,שירת ברכה, ,פעיל,רגיל,עליונה בלבד,יהודי,חרדי,מוכר,0,0,0,0,0,0,0,0,0,0,"118,921",0,0,0,956,0,0,0,0,0,22,0,2.0,0.0,"119,877", 
תשעו,דרום,שדרות,620344,הדר, ,פעיל,מיוחד,יסודי ועליונה,יהודי,ממלכתי,רשמי,265,"2,371,976",41,63,0,0,0,0,"1,878","263,709",0,0,"545,131",0,"428,014",0,0,0,0,0,0,22,0.0,4.0,"3,608,830", 
תשעו,דרום,שדרות,640318,"מקיף ע""ש גוטוירט",חלש,פעיל,רגיל,"חט""ב ועליונה",יהודי,ממלכתי,רשמי,927,"8,248,142",135,293,0,0,337,"2,233,309",232,"32,577","9,260,229",0,"919,878",0,"599,404",0,0,0,0,0,743,16,29.0,2.0,"21,293,540", 
תשעו,דרום,שדרות,670232,מקיף דתי,חלש - בינוני,פעיל,רגיל,"חט""ב ועליונה",יהודי,ממלכתי דתי,רשמי,738,"6,469,114",117,248,0,0,190,"1,254,656",224,"31,454","9,099,463",0,"653,773",0,"624,614",0,0,0,0,0,516,7,23.0,1.0,"18,133,075", 
תשעו,דרום,שדות נגב עזתה,610428,בית הגדי,חלש - בינוני,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי דתי,רשמי,308,"2,428,626",58,53,0,0,0,0,0,0,0,0,"172,519",0,"153,935",0,0,0,0,0,131,0,5.5,0.0,"2,755,080", 
תשעו,דרום,שדות נגב עזתה,610774,מעגלים,בינוני,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי דתי,רשמי,621,"4,905,382",106,104,0,0,0,0,0,0,0,0,"395,199",0,"322,123",0,0,0,0,0,256,7,11.0,1.0,"5,622,704", 
תשעו,דרום,שדות נגב עזתה,610956,דעת,בינוני - חזק,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי דתי,רשמי,645,"5,086,356",115,109,0,0,0,0,0,0,0,0,"411,653",0,"67,547",0,0,0,0,0,308,0,12.0,0.0,"5,565,557", 
תשעו,דרום,שדות נגב עזתה,613331,"ת""ת אהל משה",חלש - בינוני,פעיל,רגיל,יסודי בלבד,יהודי,חרדי,מוכר,0,0,0,0,0,0,0,0,0,0,0,0,"431,745",0,"327,744",874,"4,988,189",0,0,0,348,0,16.0,0.0,"5,747,678", 
תשעו,דרום,שדות נגב עזתה,613711,אהל משה בנות,חלש - בינוני,פעיל,רגיל,יסודי בלבד,יהודי,חרדי,מוכר,0,0,0,0,0,0,0,0,0,0,0,0,"219,289",0,"94,201",409,"2,334,290",0,0,0,169,0,7.5,0.0,"2,647,780", 
תשעו,דרום,שדות נגב עזתה,614750,תורני מדעי נועם,בינוני - חזק,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי דתי,רשמי,961,"7,581,423",187,168,0,0,0,0,0,0,0,0,"552,612",0,"100,691",0,0,0,0,0,467,0,15.0,0.0,"8,234,725", 
תשעו,דרום,שדות נגב עזתה,640151,"יב""ע בית יהודה",בינוני,פעיל,רגיל,"חט""ב ועליונה",יהודי,ממלכתי דתי,רשמי,450,"3,839,654",66,137,0,0,123,"810,801",0,0,"6,546,642",0,"621,688","4,408","382,750",0,0,0,0,0,381,0,17.0,0.0,"12,205,942", 
תשעו,דרום,שדות נגב עזתה,641316,תיכון ישיבתי נרייה,בינוני,פעיל,רגיל,"חט""ב ועליונה",יהודי,ממלכתי דתי,רשמי,294,"2,488,620",43,92,0,0,0,0,0,0,"30,364",0,"247,829","31,910","271,512",0,0,0,0,0,114,0,5.0,0.0,"3,070,235", 
תשעו,דרום,שדות נגב עזתה,641381,בת מלך,חלש - בינוני,פעיל,רגיל,עליונה בלבד,יהודי,חרדי,מוכר,0,0,0,0,0,0,0,0,0,0,"1,366,965",0,496,"28,383","72,243",0,0,0,0,0,74,0,4.0,0.0,"1,468,086", 
תשעו,דרום,שדות נגב עזתה,660365,"חט""ב ממ""ד סעד דע""ת",בינוני - חזק,פעיל,רגיל,"חט""ב בלבד",יהודי,ממלכתי דתי,רשמי,282,"2,530,693",42,91,0,0,0,0,0,0,0,0,"229,619",0,"117,934",0,0,0,0,0,112,0,4.0,0.0,"2,878,245", 
תשעו,דרום,שדות נגב עזתה,680108,מקיף דתי עזתה בנות,בינוני,פעיל,רגיל,"חט""ב ועליונה",יהודי,ממלכתי דתי,רשמי,218,"1,938,929",33,64,0,0,170,"1,127,311",0,0,"5,370,183",0,"171,451","8,152","273,319",0,0,0,0,0,212,0,10.0,0.0,"8,889,345", 
תשעו,דרום,שדות נגב עזתה,841213,אולפנת צביה-עזתה,בינוני - חזק,פעיל,רגיל,"חט""ב ועליונה",יהודי,ממלכתי דתי,רשמי,259,"2,268,628",44,81,0,0,121,"800,872",0,0,"2,688,656",0,"214,050","21,469","323,224",0,0,0,0,0,200,0,8.0,0.0,"6,316,899", 
תשעו,דרום,שגב שלום,477166,"מקיף אלמג'ד ע""ש השיח",חלש,פעיל,רגיל,"חט""ב ועליונה",בדואי,ממלכתי,רשמי,469,"4,167,335",70,147,0,0,0,0,0,0,0,0,"612,671",0,"157,383",0,0,0,0,0,275,0,10.0,0.0,"4,937,389", 
תשעו,דרום,שגב שלום,618330,"אלנור ע""ש אברהים",חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,552","12,223,419",281,260,0,0,0,0,0,0,0,0,"1,232,435",0,"1,207,480",0,0,0,0,0,885,13,30.0,1.0,"14,663,334", 
